Institution,Status,File Path,Start URL,Final URL,Notes,Actions
State Street Global Advisors,downloaded,downloads/state_street_2026.pdf,https://lnkd.in/eE4fEffX,https://lnkd.in/eE4fEffX,,accepted_cookies; downloaded_via_click:pdf
Barclays Private Bank,downloaded,downloads/barclays_private_2026.pdf,https://lnkd.in/eAntfiCY,https://privatebank.barclays.com/insights/outlook-2026-11-2025/,,accepted_cookies; downloaded_via_click:download
